InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalSales
536365,85123A,white hanging heart t-light holder,6,12/1/2010 8:26,2.55,17850,United Kingdom,
536366,22633,hand warmer union jack,6,12/1/2010 8:28,1.85,17850,United Kingdom,11.1
536367,84879,assorted colour bird ornament,32,12/1/2010 8:34,1.69,13047,United Kingdom,54.08
536368,22960,jam making set with jars,6,12/1/2010 8:34,4.25,13047,United Kingdom,25.5
536369,21756,bath building block word,3,12/1/2010 8:35,5.95,13047,United Kingdom,17.85
536370,22728,alarm clock bakelike pink,24,12/1/2010 8:45,3.75,12583,France,90
536371,22086,paper chain kit 50's christmas,80,12/1/2010 9:00,2.55,13748,United Kingdom,204
536372,22632,hand warmer red polka dot,6,12/1/2010 9:01,1.85,17850,United Kingdom,11.1
536373,85123A,white hanging heart t-light holder,6,12/1/2010 9:02,2.55,17850,United Kingdom,15.3
536374,21258,victorian sewing box large,32,12/1/2010 9:09,10.95,15100,United Kingdom,350.4
536375,85123A,white hanging heart t-light holder,6,12/1/2010 9:32,2.55,17850,United Kingdom,15.3
536376,22114,hot water bottle tea and sympathy,48,12/1/2010 9:32,3.45,15291,United Kingdom,165.6
536377,22632,hand warmer red polka dot,6,12/1/2010 9:34,1.85,17850,United Kingdom,11.1
536378,22386,jumbo bag pink polkadot,10,12/1/2010 9:37,1.95,14688,United Kingdom,19.5
536380,22961,jam making set printed,24,12/1/2010 9:41,1.45,17809,United Kingdom,34.8
536381,22139,retrospot tea set ceramic 11 pc,23,12/1/2010 9:41,4.25,15311,United Kingdom,97.75
536379,D,discount,-1,12/1/2010 9:41,27.5,14527,United Kingdom,-27.5
536382,10002,inflatable political globe,12,12/1/2010 9:45,0.85,16098,United Kingdom,10.2
536383,35004C,set of 3 coloured  flying ducks,-1,12/1/2010 9:49,4.65,15311,United Kingdom,-4.65
536384,82484,wood black board ant white finish,3,12/1/2010 9:53,6.45,18074,United Kingdom,19.35
536385,22783,set 3 wicker oval baskets w lids,1,12/1/2010 9:56,19.95,17420,United Kingdom,19.95
536386,84880,white wire egg holder,36,12/1/2010 9:57,4.95,16029,United Kingdom,178.2
536387,79321,chilli lights,192,12/1/2010 9:58,3.82,16029,United Kingdom,733.44
536388,21754,home building block word,3,12/1/2010 9:59,5.95,16250,United Kingdom,17.85
536389,22941,christmas lights 10 reindeer,6,12/1/2010 10:03,8.5,12431,Australia,51
536390,22941,christmas lights 10 reindeer,2,12/1/2010 10:19,8.5,17511,United Kingdom,17
536391,22556,plasters in tin circus parade,-12,12/1/2010 10:24,1.65,17548,United Kingdom,-19.8
536392,22150,3 stripey mice feltcraft,6,12/1/2010 10:29,1.95,13705,United Kingdom,11.7
536393,22180,retrospot lamp,8,12/1/2010 10:37,9.95,13747,United Kingdom,79.6
536394,21506,"fancy font birthday card,",24,12/1/2010 10:39,0.42,13408,United Kingdom,10.08
536395,22188,black heart card holder,8,12/1/2010 10:47,3.95,13767,United Kingdom,31.6
536396,85123A,white hanging heart t-light holder,6,12/1/2010 10:51,2.55,17850,United Kingdom,15.3
536397,35004B,set of 3 black flying ducks,12,12/1/2010 10:51,4.65,17924,United Kingdom,55.8
536398,21980,pack of 12 red retrospot tissues,24,12/1/2010 10:52,0.29,13448,United Kingdom,6.96
536399,22632,hand warmer red polka dot,6,12/1/2010 10:52,1.85,17850,United Kingdom,11.1
536400,22969,homemade jam scented candles,12,12/1/2010 10:53,1.45,13448,United Kingdom,17.4
536401,22110,bird house hot water bottle,1,12/1/2010 11:21,2.55,15862,United Kingdom,2.55
536402,22086,paper chain kit 50's christmas,40,12/1/2010 11:22,2.55,15513,United Kingdom,102
536403,22867,hand warmer bird design,96,12/1/2010 11:27,1.85,12791,Netherlands,177.6
536404,22297,heart ivory trellis small,24,12/1/2010 11:29,1.25,16218,United Kingdom,30
536405,20914,set/5 red retrospot lid glass bowls,128,12/1/2010 11:32,2.55,14045,United Kingdom,326.4
536406,85123A,white hanging heart t-light holder,8,12/1/2010 11:33,2.55,17850,United Kingdom,20.4
536407,22632,hand warmer red polka dot,6,12/1/2010 11:34,1.85,17850,United Kingdom,11.1
536408,22537,magic drawing slate dinosaur,24,12/1/2010 11:41,0.42,14307,United Kingdom,10.08
536409,90199C,5 strand glass necklace crystal,3,12/1/2010 11:45,6.35,17908,United Kingdom,19.05
536412,20728,lunch bag cars blue,3,12/1/2010 11:49,1.65,17920,United Kingdom,4.95
536415,22952,60 cake cases vintage christmas,10,12/1/2010 11:57,0.55,12838,United Kingdom,5.5
536416,21494,rotating leaves t-light holder,12,12/1/2010 11:58,1.25,13255,United Kingdom,15
536420,21889,wooden box of dominoes,12,12/1/2010 12:03,1.25,16583,United Kingdom,15
536423,22619,set of 6 soldier skittles,4,12/1/2010 12:08,3.75,18085,United Kingdom,15
536425,22837,hot water bottle babushka,8,12/1/2010 12:08,4.65,13758,United Kingdom,37.2
536437,21154,red retrospot oven glove,200,12/1/2010 12:12,1.06,13694,United Kingdom,212
536446,85172,hyacinth bulb t-light candles,32,12/1/2010 12:15,0.42,15983,United Kingdom,13.44
536460,22670,french wc sign blue metal,12,12/1/2010 12:22,1.25,14849,United Kingdom,15
536463,82552,washroom metal sign,12,12/1/2010 12:22,1.45,14849,United Kingdom,17.4
536464,90200B,black sweetheart bracelet,2,12/1/2010 12:23,4.25,17968,United Kingdom,8.5
536466,22960,jam making set with jars,6,12/1/2010 12:23,4.25,14849,United Kingdom,25.5
536477,21314,small glass heart trinket pot,48,12/1/2010 12:27,1.85,16210,United Kingdom,88.8
536488,22738,ribbon reel snowy village,5,12/1/2010 12:31,1.65,17897,United Kingdom,8.25
536500,21622,vintage union jack cushion cover,10,12/1/2010 12:35,4.95,17377,United Kingdom,49.5
536502,84879,assorted colour bird ornament,16,12/1/2010 12:36,1.69,16552,United Kingdom,27.04
536508,84947,antique silver tea glass engraved,72,12/1/2010 12:38,1.06,17181,United Kingdom,76.32
536506,22960,jam making set with jars,-6,12/1/2010 12:38,4.25,17897,United Kingdom,-25.5
536514,22865,hand warmer owl design,36,12/1/2010 12:40,2.1,17951,United Kingdom,75.6
